Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACN,Accenture plc Class A Ordinary Shares (Ireland),$263.78,-3.11,-1.165%,174394224591.00,Ireland,2001,4460509,Miscellaneous,Business Services
ADS,Alliance Data Systems Corporation Common Stock,$115.12,1.67,1.472%,5720894271.00,United States,2001,1376865,Miscellaneous,Business Services
AMWL,American Well Corporation Class A Common Stock,$20.55,1.13,5.819%,4828347526.00,United States,2020,5930163,Miscellaneous,Business Services
ATKR,Atkore Inc. Common Stock,$72.19,0.03,0.042%,3365856945.00,United States,2016,918400,Miscellaneous,Industrial Machinery/Components
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$239.79,3.36,1.421%,650430375000.00,China,2014,15952672,Miscellaneous,Business Services
BFAM,Bright Horizons Family Solutions Inc. Common Stock,$167.36,-2.00,-1.181%,10172614764.00,United States,2013,327238,Miscellaneous,Other Consumer Services
BR,Broadridge Financial Solutions Inc.Common Stock,$146.18,0.72,0.495%,16927471069.00,United States,,1158028,Miscellaneous,Business Services
CAE,CAE Inc. Ordinary Shares,$28.24,0.13,0.462%,8282085944.00,Canada,,479181,Miscellaneous,Industrial Machinery/Components
CAJ,Canon Inc. American Depositary Shares,$21.99,0.29,1.336%,29329458573.00,Japan,,139114,Miscellaneous,Industrial Machinery/Components
DASH,DoorDash Inc. Class A Common Stock,$135.03,4.41,3.376%,43407248812.00,,2020,2258838,Miscellaneous,Business Services
DLB,Dolby Laboratories Common Stock,$99.24,0.79,0.802%,10084070448.00,United States,2005,521353,Miscellaneous,Multi-Sector Companies
ENR,Energizer Holdings Inc. Common Stock,$47.40,-0.10,-0.211%,3240594662.00,United States,2015,1035753,Miscellaneous,Industrial Machinery/Components
ENS,EnerSys Common Stock,$99.39,-1.86,-1.837%,4242659737.00,United States,2004,839211,Miscellaneous,Industrial Machinery/Components
ENV,Envestnet Inc Common Stock,$70.86,-0.10,-0.141%,3834754146.00,United States,2010,950269,Miscellaneous,Business Services
FICO,Fair Isaac Corproation Common Stock,$458.87,-2.75,-0.596%,13415573796.00,United States,,414897,Miscellaneous,Business Services
FIS,Fidelity National Information Services Inc. Common Stock,$141.74,-1.68,-1.171%,88038773717.00,United States,,3778097,Miscellaneous,Business Services
FLT,FleetCor Technologies Inc. Common Stock,$280.97,-3.36,-1.182%,23437480621.00,United States,2010,754101,Miscellaneous,Business Services
FOUR,Shift4 Payments Inc. Class A Common Stock,$84.61,-1.18,-1.375%,6815563270.00,United States,2020,1144676,Miscellaneous,Business Services
FTCH,Farfetch Limited Class A Ordinary Shares,$59.88,0.38,0.639%,21243836641.00,,2018,11445803,Miscellaneous,Business Services
FVRR,Fiverr International Ltd. Ordinary Shares no par value,$224.93,8.87,4.105%,8062161491.00,,2019,831671,Miscellaneous,Business Services
GPN,Global Payments Inc. Common Stock,$205.47,-0.53,-0.257%,60663661809.00,United States,,3603292,Miscellaneous,Business Services
GRUB,GrubHub Inc. Common Stock,$62.30,-0.60,-0.954%,5809850607.00,,2014,4133120,Miscellaneous,Business Services
ITGR,Integer Holdings Corporation Common Stock,$88.73,0.25,0.283%,2924277716.00,United States,,438651,Miscellaneous,Industrial Machinery/Components
MA,Mastercard Incorporated Common Stock,$356.51,-10.49,-2.858%,354143607120.00,United States,2006,12222861,Miscellaneous,Business Services
MMS,Maximus Inc. Common Stock,$86.29,0.67,0.783%,5302737951.00,United States,1997,798453,Miscellaneous,Business Services
MPLN,MultiPlan Corporation Class A Common Stock,$6.19,0.09,1.475%,4225141447.00,,2020,3244677,Miscellaneous,Business Services
MSCI,MSCI Inc Common Stock,$410.36,4.74,1.169%,33885330501.00,United States,,713065,Miscellaneous,Business Services
NCR,NCR Corporation Common Stock,$36.92,-0.45,-1.204%,4809007770.00,United States,,1474867,Miscellaneous,Office Equipment/Supplies/Services
NLSN,Nielsen N.V. Ordinary Shares,$26.23,0.21,0.807%,9384872645.00,Netherlands,2011,5141588,Miscellaneous,Business Services
PHR,Phreesia Inc. Common Stock,$55.18,1.31,2.432%,2436906173.00,United States,2019,557388,Miscellaneous,Business Services
QS,QuantumScape Corporation Class A Common Stock,$59.34,2.37,4.16%,21752042462.00,United States,2020,15654616,Miscellaneous,Industrial Machinery/Components
RBA,Ritchie Bros. Auctioneers Incorporated Common Stock,$56.76,1.01,1.812%,6238403225.00,Canada,,507655,Miscellaneous,Business Services
RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),$24.76,0.05,0.202%,47848553421.00,United Kingdom,2015,768447,Miscellaneous,Business Services
SPB,Spectrum Brands Holdings Inc. Common Stock,$86.92,2.09,2.464%,3704694940.00,United States,,604352,Miscellaneous,Industrial Machinery/Components
TNET,TriNet Group Inc. Common Stock,$80.72,-0.18,-0.222%,5326767125.00,,2014,503748,Miscellaneous,Business Services
UBER,Uber Technologies Inc. Common Stock,$57.08,1.39,2.496%,106083484465.00,,2019,17392669,Miscellaneous,Business Services
V,Visa Inc.,$206.90,-13.76,-6.236%,442202335709.00,United States,,32191245,Miscellaneous,Business Services
WEX,WEX Inc. common stock,$215.25,-4.41,-2.008%,9512111674.00,United States,,441786,Miscellaneous,Business Services
WNS,WNS (Holdings) Limited Sponsored ADR (Jersey),$72.61,-1.61,-2.169%,3610672678.00,India,2006,166779,Miscellaneous,Business Services
WU,Western Union Company (The) Common Stock,$24.45,-0.55,-2.20%,10047030871.00,United States,,14490274,Miscellaneous,Business Services
